id;user_id;news_id;comment_id;comment;created;likes_cnt;dislikes_cnt;needs_mod
5;165;314;;natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo;2018-01-20 04:14:00;103;113;0
6;62;306;;vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in;2015-10-15 06:13:00;131;77;0
7;29;606;;urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in;2015-12-08 13:16:00;135;64;0
9;222;242;;suspendisse potenti in eleifend;2016-01-07 03:28:00;119;140;0
10;17;130;;pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices;2016-08-22 02:04:00;104;41;0
11;299;715;;in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue;2016-11-15 22:54:00;167;7;0
12;209;446;;pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis;2015-02-11 01:45:00;187;158;0
15;263;493;;ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan;2015-09-08 18:59:00;126;44;0
16;97;895;;ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea;2016-04-06 16:29:00;91;55;0
21;26;698;;faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in;2015-09-17 02:05:00;153;183;0
24;192;104;;tincidunt ante vel ipsum praesent blandit lacinia;2017-12-19 06:55:00;66;2;0
26;232;419;;suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet;2016-02-25 10:32:00;79;182;0
27;270;68;;eu sapien cursus vestibulum proin eu mi;2016-02-13 22:39:00;178;117;1
28;152;668;;mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy;2015-04-11 21:49:00;41;164;0
29;51;250;;sapien in sapien;2017-03-11 07:58:00;156;129;0
30;24;585;;vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat;2016-11-02 10:27:00;54;92;0
31;265;619;;et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat;2017-07-29 22:22:00;3;88;0
34;151;229;;pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor;2015-04-23 20:14:00;133;145;0
35;147;893;;odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac;2015-03-30 11:40:00;35;47;0
36;288;702;;ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus;2016-09-10 15:54:00;18;137;0
37;241;60;;eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus;2016-01-14 15:58:00;114;159;0
38;192;567;;in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat;2017-02-03 19:13:00;9;84;0
39;73;498;;lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus;2015-11-07 12:25:00;143;27;0
40;45;399;;integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et;2016-01-11 21:42:00;82;80;0
